Entity,Layer,XS,YS,XE,YE,XM,YM,point,geometry,X,Y
Circle,PS_YSP,37493394.78,2397471.771,37493394.78,2397471.771,37493394.18,2397471.771,1.0,"c(37493394.480000004, 2397471.771)",37493394.480000004,2397471.771
Circle,PS_YSP,37493526.541,2397471.417,37493526.541,2397471.417,37493525.941,2397471.417,1.0,"c(37493526.241, 2397471.417)",37493526.241,2397471.417
Circle,PS_YSP,37493527.316,2397494.294,37493527.316,2397494.294,37493526.716,2397494.294,1.0,"c(37493527.016, 2397494.294)",37493527.016,2397494.294
Circle,PS_YSP,37493647.495,2397464.454,37493647.495,2397464.454,37493646.895,2397464.454,1.0,"c(37493647.195, 2397464.454)",37493647.195,2397464.454
Circle,PS_YSP,37493646.3,2397496.608,37493646.3,2397496.608,37493645.7,2397496.608,1.0,"c(37493646.0, 2397496.608)",37493646.0,2397496.608
Circle,PS_YSP,37493558.681,2396178.351,37493558.681,2396178.351,37493558.081,2396178.351,1.0,"c(37493558.381, 2396178.351)",37493558.381,2396178.351
Circle,PS_YSP,37493824.721,2395084.08,37493824.721,2395084.08,37493824.121,2395084.08,1.0,"c(37493824.421000004, 2395084.08)",37493824.421000004,2395084.08
Circle,PS_YSP,37491715.857,2398148.832,37491715.857,2398148.832,37491715.257,2398148.832,1.0,"c(37491715.557, 2398148.832)",37491715.557,2398148.832
Circle,PS_YSP,37493659.073,2395723.156,37493659.073,2395723.156,37493658.473,2395723.156,1.0,"c(37493658.773, 2395723.156)",37493658.773,2395723.156
Circle,PS_YSP,37492166.147,2397473.8,37492166.147,2397473.8,37492165.547,2397473.8,1.0,"c(37492165.847, 2397473.8)",37492165.847,2397473.8
Circle,PS_YSP,37493320.617,2397493.997,37493320.617,2397493.997,37493320.017,2397493.997,1.0,"c(37493320.317, 2397493.997)",37493320.317,2397493.997
Circle,PS_YSP,37494249.685,2395354.504,37494249.685,2395354.504,37494249.085,2395354.504,1.0,"c(37494249.385000005, 2395354.504)",37494249.385000005,2395354.504
Circle,PS_YSP,37493678.858,2395616.154,37493678.858,2395616.154,37493678.258,2395616.154,1.0,"c(37493678.558, 2395616.154)",37493678.558,2395616.154
Circle,PS_YSP,37491642.851,2395609.938,37491642.851,2395609.938,37491642.251,2395609.938,1.0,"c(37491642.551, 2395609.938)",37491642.551,2395609.938
Circle,PS_YSP,37492396.382,2395798.809,37492396.382,2395798.809,37492395.782,2395798.809,1.0,"c(37492396.082, 2395798.809)",37492396.082,2395798.809
Circle,PS_YSP,37492395.954,2395831.585,37492395.954,2395831.585,37492395.354,2395831.585,1.0,"c(37492395.654, 2395831.585)",37492395.654,2395831.585
Circle,PS_YSP,37493669.642,2396079.065,37493669.642,2396079.065,37493669.042,2396079.065,1.0,"c(37493669.342, 2396079.065)",37493669.342,2396079.065
Circle,PS_YSP,37493726.498,2398610.954,37493726.498,2398610.954,37493725.898,2398610.954,1.0,"c(37493726.198, 2398610.954)",37493726.198,2398610.954
Circle,PS_YSP,37491709.565,2397439.223,37491709.565,2397439.223,37491708.965,2397439.223,1.0,"c(37491709.265, 2397439.223)",37491709.265,2397439.223
Circle,PS_YSP,37491932.291,2397473.5,37491932.291,2397473.5,37491931.691,2397473.5,1.0,"c(37491931.991, 2397473.5)",37491931.991,2397473.5
Circle,PS_YSP,37492079.625,2397473.805,37492079.625,2397473.805,37492079.025,2397473.805,1.0,"c(37492079.325, 2397473.805)",37492079.325,2397473.805
Circle,PS_YSP,37493725.816,2396657.872,37493725.816,2396657.872,37493725.216,2396657.872,1.0,"c(37493725.516, 2396657.872)",37493725.516,2396657.872
Circle,PS_YSP,37493094.365,2395632.067,37493094.365,2395632.067,37493093.765,2395632.067,1.0,"c(37493094.065, 2395632.067)",37493094.065,2395632.067
Circle,PS_YSP,37494303.715,2395743.313,37494303.715,2395743.313,37494303.115,2395743.313,1.0,"c(37494303.41500001, 2395743.313)",37494303.41500001,2395743.313
Circle,PS_YSP,37493685.983,2395238.752,37493685.983,2395238.752,37493685.383,2395238.752,1.0,"c(37493685.683, 2395238.752)",37493685.683,2395238.752
Circle,PS_YSP,37493685.936,2395262.757,37493685.936,2395262.757,37493685.336,2395262.757,1.0,"c(37493685.636, 2395262.757)",37493685.636,2395262.757
Circle,PS_YSP,37493679.48,2395255.778,37493679.48,2395255.778,37493678.88,2395255.778,1.0,"c(37493679.18, 2395255.778)",37493679.18,2395255.778
Circle,PS_YSP,37492399.193,2398387.152,37492399.193,2398387.152,37492398.593,2398387.152,1.0,"c(37492398.89300001, 2398387.152)",37492398.89300001,2398387.152
Circle,PS_YSP,37494240.372,2395244.837,37494240.372,2395244.837,37494239.772,2395244.837,1.0,"c(37494240.072, 2395244.837)",37494240.072,2395244.837
Circle,PS_YSP,37491612.217,2395610.323,37491612.217,2395610.323,37491611.617,2395610.323,1.0,"c(37491611.916999996, 2395610.323)",37491611.916999996,2395610.323
Circle,PS_YSP,37493144.076,2395148.442,37493144.076,2395148.442,37493143.476,2395148.442,1.0,"c(37493143.776, 2395148.442)",37493143.776,2395148.442
Circle,PS_YSP,37494152.009,2395354.376,37494152.009,2395354.376,37494151.409,2395354.376,1.0,"c(37494151.70900001, 2395354.376)",37494151.70900001,2395354.376
Circle,PS_YSP,37494182.417,2395318.112,37494182.417,2395318.112,37494181.817,2395318.112,1.0,"c(37494182.117, 2395318.112)",37494182.117,2395318.112
Circle,PS_YSP,37494202.381,2394845.923,37494202.381,2394845.923,37494201.781,2394845.923,1.0,"c(37494202.081, 2394845.923)",37494202.081,2394845.923
Circle,PS_YSP,37494200.207,2394837.263,37494200.207,2394837.263,37494199.607,2394837.263,1.0,"c(37494199.907000005, 2394837.263)",37494199.907000005,2394837.263
Circle,PS_YSP,37492408.8,2396899.189,37492408.8,2396899.189,37492408.2,2396899.189,1.0,"c(37492408.5, 2396899.189)",37492408.5,2396899.189
Circle,PS_YSP,37494227.145,2396474.246,37494227.145,2396474.246,37494226.545,2396474.246,1.0,"c(37494226.845, 2396474.246)",37494226.845,2396474.246
Circle,PS_YSP,37494232.634,2396479.969,37494232.634,2396479.969,37494232.034,2396479.969,1.0,"c(37494232.33400001, 2396479.969)",37494232.33400001,2396479.969
Circle,PS_YSP,37493717.348,2398647.058,37493717.348,2398647.058,37493716.748,2398647.058,1.0,"c(37493717.048, 2398647.058)",37493717.048,2398647.058
Circle,PS_YSP,37493672.453,2398461.688,37493672.453,2398461.688,37493671.853,2398461.688,1.0,"c(37493672.153, 2398461.688)",37493672.153,2398461.688
Circle,PS_YSP,37493720.17,2396146.836,37493720.17,2396146.836,37493719.57,2396146.836,1.0,"c(37493719.870000005, 2396146.836)",37493719.870000005,2396146.836
Circle,PS_YSP,37494242.064,2396292.255,37494242.064,2396292.255,37494241.464,2396292.255,1.0,"c(37494241.764, 2396292.255)",37494241.764,2396292.255
Circle,PS_YSP,37494241.929,2396292.668,37494241.929,2396292.668,37494241.329,2396292.668,1.0,"c(37494241.629, 2396292.668)",37494241.629,2396292.668
Circle,PS_YSP,37494235.053,2396321.584,37494235.053,2396321.584,37494234.453,2396321.584,1.0,"c(37494234.753000006, 2396321.584)",37494234.753000006,2396321.584
Circle,PS_YSP,37493053.817,2395209.941,37493053.817,2395209.941,37493053.217,2395209.941,1.0,"c(37493053.517000005, 2395209.941)",37493053.517000005,2395209.941
Circle,PS_YSP,37493091.677,2398324.936,37493091.677,2398324.936,37493091.077,2398324.936,1.0,"c(37493091.377000004, 2398324.936)",37493091.377000004,2398324.936
Circle,PS_YSP,37493720.29,2396947.467,37493720.29,2396947.467,37493719.69,2396947.467,1.0,"c(37493719.989999995, 2396947.467)",37493719.989999995,2396947.467
Circle,PS_YSP,37493677.035,2397027.173,37493677.035,2397027.173,37493676.435,2397027.173,1.0,"c(37493676.735, 2397027.173)",37493676.735,2397027.173
Circle,PS_YSP,37493679.211,2397073.76,37493679.211,2397073.76,37493678.611,2397073.76,1.0,"c(37493678.911, 2397073.76)",37493678.911,2397073.76
Circle,PS_YSP,37493721.593,2396708.265,37493721.593,2396708.265,37493720.993,2396708.265,1.0,"c(37493721.293, 2396708.265)",37493721.293,2396708.265
Circle,PS_YSP,37494319.852,2395458.614,37494319.852,2395458.614,37494319.252,2395458.614,1.0,"c(37494319.552, 2395458.614)",37494319.552,2395458.614
Circle,PS_YSP,37494245.623,2396262.618,37494245.623,2396262.618,37494245.023,2396262.618,1.0,"c(37494245.323, 2396262.618)",37494245.323,2396262.618
