Entity,Layer,XS,YS,XE,YE,XM,YM,ID
Insert,ArrowPS_WSL,37492418.4035,2396374.86975,37492418.4035,2396374.86975,37492419.3319,2396374.87696,110.0
Line,PS_WSL,37492404.558,2396106.96,37492404.589,2396077.044,37492404.5735,2396092.002,111.0
Insert,ArrowPS_WSL,37492404.5742,2396091.32602,37492404.5742,2396091.32602,37492404.5732,2396092.25444,111.0
Line,PS_WSL,37492404.44,2395609.546,37492404.454,2395569.503,37492404.447,2395589.5245,112.0
Insert,ArrowPS_WSL,37492404.4472,2395588.84852,37492404.4472,2395588.84852,37492404.4469,2395589.77694,112.0
Line,PS_WSL,37492404.382,2395649.328,37492404.44,2395609.546,37492404.411,2395629.437,113.0
Insert,ArrowPS_WSL,37492404.412,2395628.76102,37492404.412,2395628.76102,37492404.4106,2395629.68944,113.0
Line,PS_WSL,37492396.232,2395649.599,37492404.382,2395649.328,37492400.307,2395649.4635,114.0
Insert,ArrowPS_WSL,37492400.9826,2395649.44103,37492400.9826,2395649.44103,37492400.0547,2395649.47189,114.0
Line,PS_WSL,37493936.174,2394486.816,37493952.061,2394490.804,37493944.1175,2394488.81,115.0
Insert,ArrowPS_WSL,37493944.7731,2394488.97458,37493944.7731,2394488.97458,37493943.8727,2394488.74854,115.0
Line,PS_WSL,37493952.061,2394490.804,37493976.83,2394490.743,37493964.4455,2394490.7735,116.0
