Entity,Layer,XS,YS,XE,YE,XM,YM,ID
Line,PS_YSL,37493051.369,2396236.662,37493054.918,2396236.343,37493053.1435,2396236.5025,
Line,PS_YSL,37493050.945,2396298.499,37493054.755,2396298.758,37493052.85,2396298.6285,
Line,PS_YSL,37493080.235,2396339.909,37493057.607,2396362.806,37493068.921,2396351.3575,95.0
Insert,ArrowPS_YSL,37493068.4458,2396351.83831,37493068.4458,2396351.83831,37493069.0984,2396351.17795,95.0
Line,PS_YSL,37490919.5,2394925.267,37490919.56,2394929.025,37490919.53,2394927.146,
Line,PS_YSL,37493394.58,2396275.289,37493395.349,2396293.583,37493394.9645,2396284.436,96.0
Insert,ArrowPS_YSL,37493394.9929,2396285.11139,37493394.9929,2396285.11139,37493394.9539,2396284.18379,96.0
Line,PS_YSL,37493392.861,2396277.467,37493394.58,2396275.289,37493393.7205,2396276.378,
Line,PS_YSL,37494181.573,2396859.862,37494182.222,2396859.352,37494181.8975,2396859.607,
Line,PS_YSL,37493392.87,2396243.077,37493393.982,2396240.505,37493393.426,2396241.791,
Line,PS_YSL,37493396.509,2396242.768,37493393.982,2396240.505,37493395.2455,2396241.6365,
Line,PS_YSL,37494268.439,2394976.249,37494270.988,2394976.19,37494269.7135,2394976.2195,
Line,PS_YSL,37494270.989,2395010.209,37494273.359,2395010.064,37494272.174,2395010.1365,
Line,PS_YSL,37494270.988,2394976.19,37494273.359,2395010.064,37494272.1735,2394993.127,97.0
Insert,ArrowPS_YSL,37494272.2207,2394993.80133,37494272.2207,2394993.80133,37494272.1559,2394992.87518,97.0
Line,PS_YSL,37494273.359,2395010.064,37494275.131,2395040.607,37494274.245,2395025.3355,98.0
Insert,ArrowPS_YSL,37494274.2842,2395026.01035,37494274.2842,2395026.01035,37494274.2304,2395025.08349,98.0
Line,PS_YSL,37494272.957,2395040.765,37494275.131,2395040.607,37494274.044,2395040.686,
Line,PS_YSL,37493384.288,2395420.838,37493384.207,2395423.124,37493384.2475,2395421.981,
Line,PS_YSL,37490414.309,2395650.573,37490384.888,2395651.408,37490399.5985,2395650.9905,99.0
Insert,ArrowPS_YSL,37490398.9228,2395651.00968,37490398.9228,2395651.00968,37490399.8508,2395650.98334,99.0
