Entity,Layer,Color,Elevation,RefName,Style,Text,ORIG_FID,geometry,x_coordinate,y_coordinate
Text,PS_YSLText,120,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,32068,"c(37489716.7816014, 2398066.12927713)",37489716.78,2398066.129
Text,PS_YSLText,120,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,32069,"c(37489720.0924976, 2398012.23803665)",37489720.09,2398012.238
Text,PS_YSLText,120,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,32070,"c(37489712.5154319, 2398075.4332512)",37489712.52,2398075.433
Text,PS_YSLText,120,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,32071,"c(37489715.7132387, 2398015.22458578)",37489715.71,2398015.225
Text,PS_YSLText,120,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,32072,"c(37489709.1797447, 2397958.31785563)",37489709.18,2397958.318
Text,PS_YSLText,120,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,32073,"c(37489712.1962977, 2397970.42127824)",37489712.2,2397970.421
Text,PS_YSLText,120,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,32074,"c(37489710.4384383, 2397886.63935309)",37489710.44,2397886.639
Text,PS_YSLText,120,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,32075,"c(37489716.6270523, 2397878.90589501)",37489716.63,2397878.906
Text,PS_YSLText,120,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,32076,"c(37489710.8628482, 2397866.52281955)",37489710.86,2397866.523
Text,PS_YSLText,120,0,PVC  DN200,CDShxStyle,PVC  DN200,32077,"c(37489719.1941648, 2397824.42338987)",37489719.19,2397824.423
Text,PS_YSLText,120,0,PVC  DN1000,CDShxStyle,PVC  DN1000,32078,"c(37489704.7321131, 2397825.71095092)",37489704.73,2397825.711
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,32079,"c(37489830.2765056, 2397778.68462275)",37489830.28,2397778.685
Text,PS_YSLText,120,0,PVC  DN300,CDShxStyle,PVC  DN300,32080,"c(37489813.4374929, 2397774.4510122)",37489813.44,2397774.451
Text,PS_YSLText,120,0,PVC  DN300,CDShxStyle,PVC  DN300,32081,"c(37489726.8843634, 2397778.60071916)",37489726.88,2397778.601
Text,PS_YSLText,120,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,32082,"c(37489732.534562, 2397670.76142328)",37489732.53,2397670.761
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,32083,"c(37488821.2868208, 2397325.6759854)",37488821.29,2397325.676
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,32084,"c(37488838.4257219, 2397325.69699228)",37488838.43,2397325.697
Text,PS_YSLText,120,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,32085,"c(37489284.4447439, 2396534.96073211)",37489284.44,2396534.961
Text,PS_YSLText,120,0,Ì≈  DN1000X2500,CDShxStyle,Ì≈  DN1000X2500,32086,"c(37489453.0905004, 2397432.41193734)",37489453.09,2397432.412
Text,PS_YSLText,120,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,32087,"c(37489711.4714804, 2397847.60728886)",37489711.47,2397847.607
Text,PS_YSLText,120,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,32088,"c(37489740.3159514, 2397556.76182134)",37489740.32,2397556.762
Text,PS_YSLText,120,0,PVC  DN200,CDShxStyle,PVC  DN200,32089,"c(37489738.9560988, 2397477.17492942)",37489738.96,2397477.175
Text,PS_YSLText,120,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,32090,"c(37489744.5383215, 2397504.36643495)",37489744.54,2397504.366
Text,PS_YSLText,120,0,Ì≈  DN1000X3000,CDShxStyle,Ì≈  DN1000X3000,32091,"c(37489761.5214619, 2397736.94317211)",37489761.52,2397736.943
Text,PS_YSLText,120,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,32092,"c(37489710.0148837, 2397944.91326296)",37489710.01,2397944.913
Text,PS_YSLText,120,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,32093,"c(37489707.3784865, 2397920.70742796)",37489707.38,2397920.707
Text,PS_YSLText,120,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,32094,"c(37489724.8289589, 2397981.75559027)",37489724.83,2397981.756
Text,PS_YSLText,120,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,32095,"c(37489718.1013219, 2397977.97202681)",37489718.1,2397977.972
Text,PS_YSLText,120,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,32096,"c(37489716.7755848, 2398084.64030381)",37489716.78,2398084.64
Text,PS_YSLText,120,0,Ì≈  DN1000X3000,CDShxStyle,Ì≈  DN1000X3000,32097,"c(37489762.5703307, 2397752.69226604)",37489762.57,2397752.692
Text,PS_YSLText,120,0,Ì≈  DN450X600,CDShxStyle,Ì≈  DN450X600,32098,"c(37489123.1116575, 2396550.77910283)",37489123.11,2396550.779
Text,PS_YSLText,120,0,PVC  DN200,CDShxStyle,PVC  DN200,32099,"c(37487162.1684279, 2397317.48800115)",37487162.17,2397317.488
Text,PS_YSLText,120,0,Ì≈  DN850X1000,CDShxStyle,Ì≈  DN850X1000,32100,"c(37489437.0606546, 2397417.1140653)",37489437.06,2397417.114
