Entity,Layer,Color,Elevation,RefName,Style,Text,ORIG_FID,geometry,x_coordinate,y_coordinate
Text,PS_WSLText,40,0,÷˝Ã˙  DN1200,CDShxStyle,÷˝Ã˙  DN1200,47654,"c(37489717.9812645, 2395549.29019318)",37489717.9812645,2395549.29019318
Text,PS_WSLText,40,0,÷˝Ã˙  DN1200,CDShxStyle,÷˝Ã˙  DN1200,47655,"c(37489768.6868748, 2395522.74112597)",37489768.6868748,2395522.74112597
Text,PS_WSLText,40,0,÷˝Ã˙  DN1200,CDShxStyle,÷˝Ã˙  DN1200,47656,"c(37489819.4073832, 2395495.61030745)",37489819.4073832,2395495.61030745
Text,PS_WSLText,40,0,÷˝Ã˙  DN1200,CDShxStyle,÷˝Ã˙  DN1200,47657,"c(37489866.011109, 2395470.34771894)",37489866.011109,2395470.34771894
Text,PS_WSLText,40,0,÷˝Ã˙  DN1200,CDShxStyle,÷˝Ã˙  DN1200,47658,"c(37489962.7053404, 2395417.92621706)",37489962.7053404,2395417.92621706
Text,PS_WSLText,40,0,÷˝Ã˙  DN1200,CDShxStyle,÷˝Ã˙  DN1200,47659,"c(37490000.0724007, 2395397.62394321)",37490000.0724007,2395397.62394321
Text,PS_WSLText,40,0,Ì≈  DN1200,CDShxStyle,Ì≈  DN1200,47660,"c(37490131.5937361, 2395320.59405942)",37490131.5937361,2395320.59405942
Text,PS_WSLText,40,0,Ì≈  DN1200,CDShxStyle,Ì≈  DN1200,47661,"c(37490173.3123898, 2395296.90789562)",37490173.3123898,2395296.90789562
Text,PS_WSLText,40,0,Ì≈  DN1600,CDShxStyle,Ì≈  DN1600,47662,"c(37490518.3286992, 2395003.87929085)",37490518.3286992,2395003.87929085
Text,PS_WSLText,40,0,Ì≈  DN1600,CDShxStyle,Ì≈  DN1600,47663,"c(37490559.0894366, 2394979.52001302)",37490559.0894366,2394979.52001302
Text,PS_WSLText,40,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,47664,"c(37491418.5435526, 2396769.31853102)",37491418.5435526,2396769.31853102
Text,PS_WSLText,40,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,47665,"c(37491423.023935, 2396808.75802294)",37491423.023935,2396808.75802294
Text,PS_WSLText,40,0,÷˝Ã˙  DN1200,CDShxStyle,÷˝Ã˙  DN1200,47666,"c(37489604.5143553, 2395824.56849265)",37489604.5143553,2395824.56849265
Text,PS_WSLText,40,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,47667,"c(37492420.1746909, 2398041.57128084)",37492420.1746909,2398041.57128084
Text,PS_WSLText,40,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,47668,"c(37492399.1172568, 2398092.21744833)",37492399.1172568,2398092.21744833
Text,PS_WSLText,40,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,47669,"c(37491377.9496365, 2397032.55161321)",37491377.9496365,2397032.55161321
Text,PS_WSLText,40,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,47670,"c(37491364.947807, 2397054.97198089)",37491364.947807,2397054.97198089
Text,PS_WSLText,40,0,PVC  DN400,CDShxStyle,PVC  DN400,47671,"c(37493673.0724971, 2393240.80119014)",37493673.0724971,2393240.80119014
Text,PS_WSLText,40,0,PVC  DN400,CDShxStyle,PVC  DN400,47672,"c(37493674.2386452, 2393210.754283)",37493674.2386452,2393210.754283
Text,PS_WSLText,40,0,PVC  DN400,CDShxStyle,PVC  DN400,47673,"c(37493676.1227931, 2393181.2025788)",37493676.1227931,2393181.2025788
Text,PS_WSLText,40,0,PVC  DN400,CDShxStyle,PVC  DN400,47674,"c(37493676.9109995, 2393151.81020152)",37493676.9109995,2393151.81020152
Text,PS_WSLText,40,0,PVC  DN500,CDShxStyle,PVC  DN500,47675,"c(37493719.3629999, 2392880.54676789)",37493719.3629999,2392880.54676789
Text,PS_WSLText,40,0,PVC  DN500,CDShxStyle,PVC  DN500,47676,"c(37493719.2699918, 2392910.33586094)",37493719.2699918,2392910.33586094
Text,PS_WSLText,40,0,PVC  DN500,CDShxStyle,PVC  DN500,47677,"c(37493719.1209958, 2392940.85254308)",37493719.1209958,2392940.85254308
Text,PS_WSLText,40,0,PVC  DN500,CDShxStyle,PVC  DN500,47678,"c(37493719.0679999, 2392971.23512642)",37493719.0679999,2392971.23512642
Text,PS_WSLText,40,0,PVC  DN500,CDShxStyle,PVC  DN500,47679,"c(37493718.9364758, 2393000.43342357)",37493718.9364758,2393000.43342357
Text,PS_WSLText,40,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,47680,"c(37491557.8130333, 2394306.01200107)",37491557.8130333,2394306.01200107
